"behavioral_touch_face","health_worker","health_insurance_0","child_under_6_months","opinion_h1n1_vacc_effective","employment_industry_fcxhlnwr","employment_occupation_NA","doctor_recc_seasonal","chronic_med_condition","h1n1_concern","employment_occupation_vlluhbov","doctor_recc_h1n1","behavioral_avoidance","employment_occupation_qxajmpny","opinion_seas_vacc_effective","employment_occupation_pvmttkik","employment_occupation_ukymxvdu","employment_occupation_ccgxvspp","hhs_geo_region_atmpeygn","employment_occupation_cmhcxjea","health_insurance_1","employment_industry_arjwrbjb","behavioral_outside_home","employment_industry_ldnlellj","employment_industry_qnlwzans","employment_occupation_dcjcmpih","opinion_h1n1_sick_from_vacc"
1,0,0,0,1,0,0,0,0,0.666666666666667,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0.75,0,0,0,0,0.333333333333333,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0.666666666666667,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.25
0,0,0,0,0.75,0,1,1,1,0.333333333333333,0,1,0,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0.25
1,1,0,0,1,1,0,0,0,1,0,0,1,0,0.75,0,0,0,0,0,1,0,1,0,0,0,0.75
1,1,0,0,0.75,1,0,0,0,0.666666666666667,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0.75,0,1,1,0,0.666666666666667,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.75
1,0,0,0,1,0,1,0,0,0.666666666666667,0,0,1,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0.25
1,0,0,0,0.5,0,1,0,0,0.333333333333333,0,0,1,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0.75,0,1,0,1,0.666666666666667,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.25
1,0,0,1,0.25,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0.333333333333333,0,0,1,0,0.75,0,0,0,0,0,1,1,0,0,0,0,0
1,1,0,0,0.75,1,0,1,0,0.666666666666667,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.75
1,0,0,0,0.75,0,0,0,0,0.333333333333333,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25
0,0,1,0,1,0,0,1,1,0.333333333333333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.5,0,0,0,0,0.666666666666667,1,0,1,0,0.25,0,0,0,0,0,1,0,1,0,0,0,0.25
1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.25
1,0,0,0,0.75,0,1,0.00209477938919151,0,0.666666666666667,0,4.67939435015726e-05,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.25
0,0,0,0,0.75,0,0,0.000398460461418166,0,1,0,8.12229080989629e-07,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75
1,0,0,0,0.25,0,1,0,1,0.666666666666667,0,0,1,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0.25
1,0,0,0,1,0,1,0,1,0.666666666666667,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.25
1,0,0,0,0.75,0,0,0,0,0.666666666666667,0,0,0,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0.25
1,0,0,0,0.75,0,0,0,1,0.666666666666667,0,0,1,0,0.75,0,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0.75,0,1,0,1,1,0,0,1,0,0.75,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0.5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,1,1,0,1,0,0.333333333333333,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.75
